Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
3343,sidney moncrief,197910120KCK,22,77,1557,0.468,0.0,0.795,20.2,8.5,4.4,1.7,0.9,0.2,1.5,1979-1980,1,0,1,0,0,2,High Success,1
3346,jim paxson,197910120POR,22,72,1270,0.411,0.045,0.711,17.6,6.2,1.5,2.0,0.7,0.1,1.3,1979-1980,1,0,0,0,0,1,Low Success,0
3365,maurice cheeks,197810130PHI,22,82,2409,0.51,0.0,0.721,29.4,8.4,3.1,5.3,2.1,0.1,2.4,1978-1979,0,0,1,0,0,1,Low Success,0
3366,michael cooper,197812220LAL,22,3,7,0.5,0.0,0.0,2.3,2.0,0.0,0.0,0.3,0.0,0.3,1978-1979,0,0,1,0,0,1,Low Success,0
3373,phil ford,197810150SEA,22,79,2723,0.465,0.0,0.813,34.5,15.9,2.3,8.6,2.2,0.1,4.1,1978-1979,1,1,0,0,0,2,High Success,1
3383,george johnson,197810240PHO,22,67,1157,0.482,0.0,0.718,17.3,6.2,5.4,1.2,1.1,0.7,1.5,1978-1979,0,0,1,0,0,1,Low Success,0
3395,micheal ray richardson,197810130NYK,23,72,1218,0.414,0.0,0.539,16.9,6.5,3.2,3.0,1.4,0.3,2.0,1978-1979,0,0,1,0,0,1,Low Success,0
3413,otis birdsong,197710180NYK,22,73,1878,0.492,0.0,0.697,25.7,15.8,2.4,2.4,1.0,0.2,2.0,1977-1978,1,0,0,0,0,1,Low Success,0
3425,walter davis,197710180PHO,23,81,2590,0.526,0.0,0.83,32.0,24.2,6.0,3.4,1.4,0.2,3.5,1977-1978,1,1,0,0,0,2,High Success,1
3427,tr dunn,197710220POR,22,63,768,0.417,0.0,0.661,12.2,3.8,2.3,0.7,0.7,0.1,0.6,1977-1978,0,0,1,0,0,1,Low Success,0
3438,eddie johnson,197710220ATL,22,79,1875,0.484,0.0,0.816,23.7,10.5,1.9,3.0,1.3,0.1,2.1,1977-1978,0,0,1,0,0,1,Low Success,0
3439,larry johnson,197710190BUF,23,4,38,0.231,0.0,0.0,9.5,1.5,1.3,1.8,1.3,0.5,0.8,1977-1978,1,1,0,0,0,2,High Success,1
3440,marques johnson,197710180MIL,21,80,2765,0.522,0.0,0.736,34.6,19.5,10.6,2.4,1.2,1.3,2.2,1977-1978,1,0,0,0,0,1,Low Success,0
3442,bernard king,197710180DET,21,79,3092,0.479,0.0,0.677,39.1,24.2,9.5,2.4,1.5,0.5,3.9,1977-1978,1,0,0,0,0,1,Low Success,0
3449,cedric maxwell,197710190SAS,22,72,1213,0.538,0.0,0.752,16.8,7.3,5.3,0.9,0.7,0.7,1.7,1977-1978,0,0,0,0,1,1,Low Success,0
3458,tree rollins,197710220ATL,22,80,1795,0.487,0.0,0.703,22.4,7.6,6.9,1.0,0.7,2.7,1.5,1977-1978,0,0,1,0,0,1,Low Success,0
3461,jack sikma,197710190GSW,22,82,2238,0.455,0.0,0.777,27.3,10.7,8.3,1.6,0.8,0.5,2.3,1977-1978,0,0,1,0,0,1,Low Success,0
